ACC,ARI,F1,FN_count,FN_ratio,HN_count,HN_ratio,L_cluster,L_cross,L_feat,L_hn,L_recon,L_reg,L_total,L_uncert,NMI,PUR,S_mean,S_p10,S_p50,S_p90,S_std,U_size,alpha_fn,candidate_neg_size,delta_post,delta_sim,denom_fn_share,denom_safe_share,empty_cluster,epoch,fn_pair_share,gamma_mean,gamma_p10,gamma_p50,gamma_p90,gamma_std,gate,hn_beta,hn_pair_share,knn_neg_k,label_flip,lr,m_gap_p10,m_gap_p50,m_gap_p90,m_top1_p10,m_top1_p50,m_top1_p90,mean_s_post_FN,mean_s_post_nonFN,mean_sim_HN,mean_sim_safe_nonHN,min_cluster,neg_after_filter_size,neg_count,neg_mode,neg_per_anchor,neg_used_in_loss_size,pi_fn,route_count_inconsistent,route_uncertain_only,safe_neg_count,safe_ratio,sim_neg_p90,sim_neg_p99,sim_pos_p50,sim_pos_p90,stab_rate,step,temp_f,temp_l,u_mean,u_p10,u_p50,u_p90,u_std,w_hit_min_ratio,w_mean,w_mean_on_FN,w_mean_on_safe,w_min,w_p10,w_p50,w_p90,w_std
0.5342,0.3688,0.4493,1152,0.0195,1024,0.0194,0.022086,0.0,5.688251,0.000295,0.023056,0.0,5.743934,0.010246,0.4174,0.608,,,,,,46,0.1,59132,0.0293,0.3155,0.0018,0.9982,0,36,,,,,,,0.3535,0.1,,20,0.8569,0.0001,,,,,,,0.1152,0.0859,0.3021,-0.0133,35,57980,59132,batch,240.5,59132,0.1,0,1,57980,0.9805,,,,,0.1431,36,0.5,0.5,,,,,,0.0194,,0.05,1.0,0.05,,,,
0.5349,0.3695,0.4499,1131,0.0191,1005,0.019,0.021883,0.0,5.729224,0.00119,0.023023,0.0,5.786215,0.010895,0.4185,0.6087,,,,,,45,0.1,59132,0.0295,0.4375,0.0016,0.9984,0,37,,,,,,,0.3636,0.1,,20,0.7163,0.0001,,,,,,,0.1165,0.0871,0.4239,-0.0137,35,58001,59132,batch,240.5,59132,0.1,0,1,58001,0.9809,,,,,0.2837,37,0.5,0.5,,,,,,0.019,,0.05,1.0,0.05,,,,
0.5349,0.37,0.4504,1131,0.0191,1005,0.019,0.021836,0.0,5.516274,0.00087,0.023101,0.0,5.571422,0.00934,0.4192,0.6094,,,,,,45,0.1,59132,0.0342,0.4489,0.0016,0.9984,0,38,,,,,,,0.3737,0.1,,20,0.8533,0.0001,,,,,,,0.1224,0.0881,0.4342,-0.0146,35,58001,59132,batch,240.5,59132,0.1,0,1,58001,0.9809,,,,,0.1467,38,0.5,0.5,,,,,,0.019,,0.05,1.0,0.05,,,,
0.5355,0.3699,0.4503,1109,0.0188,986,0.0187,0.021754,0.0,5.71346,0.001388,0.023236,0.0,5.770193,0.010355,0.4187,0.6094,,,,,,44,0.1,59132,0.0251,0.4814,0.0015,0.9985,0,39,,,,,,,0.3838,0.1,,20,0.7369,0.0001,,,,,,,0.1103,0.0852,0.4668,-0.0146,33,58023,59132,batch,240.5,59132,0.1,0,1,58023,0.9812,,,,,0.2631,39,0.5,0.5,,,,,,0.0187,,0.05,1.0,0.05,,,,
0.5355,0.3704,0.4508,1087,0.0185,967,0.0184,0.021486,0.0,5.600145,0.000375,0.023193,0.0,5.655398,0.010199,0.4195,0.6101,-2.9316,-6.1201,-0.771,-0.097,2.7404,43,0.1,59132,0.0283,0.288,0.0018,0.9982,0,40,0.0185,0.488,0.1149,0.301,0.9911,0.561,0.3939,0.1,0.0168,20,0.8416,0.0001,0.0186,0.0531,0.2877,0.1553,0.2032,0.5001,0.1146,0.0863,0.2724,-0.0156,35,58045,59132,batch,240.5,59132,0.1,0,1,58045,0.9815,0.4746,0.9859,0.8147,0.9971,0.1584,40,0.5,0.5,0.4722,0.425,0.4894,0.5007,0.0384,0.0184,0.9818,0.05,1.0,0.05,1.0,1.0,1.0,0.1302
0.5342,0.3698,0.4502,1066,0.0181,948,0.0181,0.021586,0.0,5.48679,0.000665,0.023363,0.0,5.542188,0.009784,0.4188,0.6094,,,,,,42,0.1,59132,0.0261,0.2982,0.0018,0.9982,0,41,,,,,,,0.404,0.1,,20,0.8777,0.0001,,,,,,,0.1116,0.0855,0.2827,-0.0155,33,58066,59132,batch,240.5,59132,0.1,0,1,58066,0.9819,,,,,0.1223,41,0.5,0.5,,,,,,0.0181,,0.05,1.0,0.05,,,,
0.5349,0.3696,0.4501,1044,0.0178,929,0.0177,0.021672,0.0,5.45998,0.000457,0.023818,0.0,5.516368,0.010441,0.4194,0.608,,,,,,42,0.1,59132,0.0255,0.2756,0.0018,0.9982,0,42,,,,,,,0.4141,0.1,,20,0.8106,0.0001,,,,,,,0.1111,0.0856,0.2612,-0.0144,34,58088,59132,batch,240.5,59132,0.1,0,1,58088,0.9822,,,,,0.1894,42,0.5,0.5,,,,,,0.0177,,0.05,1.0,0.05,,,,
0.5355,0.3709,0.4512,1044,0.0178,929,0.0177,0.021259,0.0,5.328517,0.001197,0.023745,0.0,5.384341,0.009623,0.4211,0.6108,,,,,,42,0.1,59132,0.0246,0.3267,0.0017,0.9983,0,43,,,,,,,0.4242,0.1,,20,0.434,0.0001,,,,,,,0.1096,0.085,0.3119,-0.0148,35,58088,59132,batch,240.5,59132,0.1,0,1,58088,0.9822,,,,,0.566,43,0.5,0.5,,,,,,0.0177,,0.05,1.0,0.05,,,,
0.5349,0.3702,0.4506,1022,0.0175,910,0.0174,0.021215,0.0,5.354781,0.000445,0.023726,0.0,5.410066,0.009899,0.4196,0.6101,,,,,,41,0.1,59132,0.0276,0.2686,0.0018,0.9982,0,44,,,,,,,0.4343,0.1,,20,0.7949,0.0001,,,,,,,0.1152,0.0876,0.2539,-0.0147,33,58110,59132,batch,240.5,59132,0.1,0,1,58110,0.9825,,,,,0.2051,44,0.5,0.5,,,,,,0.0174,,0.05,1.0,0.05,,,,
0.5349,0.3708,0.4511,1001,0.0171,890,0.0171,0.021204,0.0,5.301834,0.000406,0.0238,0.0,5.355754,0.008511,0.4206,0.6108,-2.8347,-6.7982,-0.6992,-0.0645,3.0423,40,0.1,59132,0.0273,0.2722,0.0017,0.9983,0,45,0.0171,0.4201,0.0787,0.2422,0.8445,0.5151,0.4444,0.1,0.0156,20,0.9469,0.0001,0.0126,0.0362,0.2658,0.1377,0.1735,0.4638,0.117,0.0897,0.2591,-0.0131,33,58131,59132,batch,240.5,59132,0.1,0,1,58131,0.9829,0.5844,0.9892,0.8568,0.9972,0.0531,45,0.5,0.5,0.4729,0.4127,0.4872,0.502,0.0365,0.0171,0.9818,0.05,1.0,0.05,1.0,1.0,1.0,0.1302
0.5349,0.3706,0.451,979,0.0168,871,0.0167,0.021095,0.0,5.394143,0.002086,0.023697,0.0,5.450274,0.009252,0.4202,0.6108,,,,,,39,0.1,59132,0.0197,0.4372,0.0015,0.9985,0,46,,,,,,,0.4545,0.1,,20,0.8445,0.0001,,,,,,,0.1049,0.0852,0.4251,-0.012,33,58153,59132,batch,240.5,59132,0.1,0,1,58153,0.9832,,,,,0.1555,46,0.5,0.5,,,,,,0.0167,,0.05,1.0,0.05,,,,
0.5349,0.3708,0.4511,979,0.0168,871,0.0167,0.021343,0.0,5.378771,0.000961,0.023578,0.0,5.43421,0.009556,0.4206,0.6101,,,,,,39,0.1,59132,0.023,0.2838,0.0018,0.9982,0,47,,,,,,,0.4646,0.1,,20,0.807,0.0001,,,,,,,0.1102,0.0872,0.2699,-0.0138,33,58153,59132,batch,240.5,59132,0.1,0,1,58153,0.9832,,,,,0.193,47,0.5,0.5,,,,,,0.0167,,0.05,1.0,0.05,,,,
0.5349,0.3706,0.451,957,0.0165,852,0.0164,0.020948,0.0,5.220982,0.000724,0.023565,0.0,5.276283,0.010064,0.4203,0.6101,,,,,,38,0.1,59132,0.0193,0.2355,0.0017,0.9983,0,48,,,,,,,0.4747,0.1,,20,0.9716,0.0001,,,,,,,0.1033,0.084,0.2222,-0.0132,34,58175,59132,batch,240.5,59132,0.1,0,1,58175,0.9835,,,,,0.0284,48,0.5,0.5,,,,,,0.0164,,0.05,1.0,0.05,,,,
0.5349,0.3708,0.4511,936,0.0161,833,0.0161,0.021442,0.0,5.161449,0.000557,0.023587,0.0,5.21626,0.009224,0.4208,0.6108,,,,,,37,0.1,59132,0.0235,0.2616,0.0017,0.9983,0,49,,,,,,,0.4848,0.1,,20,0.8199,0.0001,,,,,,,0.1107,0.0872,0.2491,-0.0125,34,58196,59132,batch,240.5,59132,0.1,0,1,58196,0.9839,,,,,0.1801,49,0.5,0.5,,,,,,0.0161,,0.05,1.0,0.05,,,,
0.5349,0.37,0.4504,914,0.0158,814,0.0158,0.020962,0.0,5.261478,0.000412,0.023747,0.0,5.315876,0.009277,0.4188,0.6094,-3.5559,-7.5166,-0.9588,-0.1709,3.3899,37,0.1,59132,0.025,0.2201,0.0017,0.9983,0,50,0.0158,0.3178,0.0631,0.2151,0.6495,0.3359,0.4949,0.1,0.0144,20,0.7098,0.0001,0.0097,0.0348,0.1524,0.1403,0.1761,0.3246,0.114,0.089,0.2079,-0.0122,33,58218,59132,batch,240.5,59132,0.1,0,1,58218,0.9842,0.6024,0.9892,0.8545,0.9973,0.2902,50,0.5,0.5,0.4797,0.4388,0.4922,0.505,0.0284,0.0157,0.9818,0.05,1.0,0.05,1.0,1.0,1.0,0.1302
0.5349,0.3706,0.4509,914,0.0158,814,0.0158,2.721038,13.130005,5.294171,0.000708,0.02375,0.0,21.178722,0.009051,0.4198,0.6108,,,,,,37,0.1,59132,0.0221,0.2445,0.0017,0.9983,0,51,,,,,,,0.5051,0.1,,20,0.8279,0.0001,,,,,,,0.1073,0.0851,0.2326,-0.0119,33,58218,59132,batch,240.5,59132,0.1,0,1,58218,0.9842,,,,,0.1721,51,0.5,0.5,,,,,,0.0,,0.0505,1.0,0.05,,,,
0.5349,0.3705,0.4509,892,0.0155,794,0.0154,2.512067,13.33279,5.304777,0.001513,0.023854,0.0,21.186433,0.011431,0.4211,0.6101,,,,,,36,0.1,59132,0.0481,0.2765,0.0016,0.9984,0,52,,,,,,,0.5152,0.1,,20,0.6729,0.0001,,,,,,,0.1315,0.0834,0.264,-0.0125,32,58240,59132,batch,240.5,59132,0.1,0,1,58240,0.9845,,,,,0.3271,52,0.5,0.5,,,,,,0.0,,0.0515,1.0,0.05,,,,
0.5349,0.3707,0.451,871,0.0151,775,0.0151,2.104478,13.580775,5.443294,0.001096,0.024379,0.0,21.168313,0.014292,0.4218,0.6115,,,,,,35,0.1,59132,0.0968,0.2421,0.0017,0.9983,0,53,,,,,,,0.5253,0.1,,20,0.9993,0.0001,,,,,,,0.1811,0.0843,0.2282,-0.0139,33,58261,59132,batch,240.5,59132,0.1,0,1,58261,0.9849,,,,,0.0007,53,0.5,0.5,,,,,,0.0,,0.0525,1.0,0.05,,,,
0.5349,0.3711,0.4514,849,0.0148,756,0.0148,1.952293,14.031412,5.299853,0.00071,0.024777,0.0,21.326884,0.01784,0.4229,0.6128,,,,,,34,0.1,59132,0.166,0.238,0.0016,0.9984,0,54,,,,,,,0.5354,0.1,,20,0.8849,0.0001,,,,,,,0.2591,0.0931,0.2255,-0.0125,28,58283,59132,batch,240.5,59132,0.1,0,1,58283,0.9852,,,,,0.1151,54,0.5,0.5,,,,,,0.0,,0.0535,1.0,0.05,,,,
0.5383,0.375,0.4549,827,0.0145,737,0.0145,1.927245,14.415407,5.345768,0.00099,0.024465,0.0,21.7332,0.019326,0.4238,0.6135,-3.9111,-9.8783,-0.9986,-0.14,4.3698,33,0.1,59132,0.2082,0.2456,0.0016,0.9984,0,55,0.0145,2.1578,0.2293,0.9168,5.4319,3.2443,0.5455,0.1,0.0132,20,0.6524,0.0001,0.081,0.3717,0.9883,0.3545,0.6096,0.9924,0.2999,0.0916,0.2335,-0.0121,27,58305,59132,batch,240.5,59132,0.1,0,1,58305,0.9855,0.6832,0.9983,0.9615,0.9997,0.3476,55,0.5,0.5,0.424,0.2544,0.4613,0.508,0.0948,0.0,0.9819,0.0545,1.0,0.05,1.0,1.0,1.0,0.1296
0.4969,0.3491,0.4317,827,0.0145,737,0.0145,2.078941,14.753672,5.900389,0.0003,0.02495,0.0,22.776104,0.017854,0.3981,0.5756,,,,,,33,0.1,59132,0.1931,0.276,0.0016,0.9984,0,56,,,,,,,0.5556,0.1,,20,0.4039,0.0001,,,,,,,0.2991,0.106,0.2716,-0.0045,30,58305,59132,batch,240.5,59132,0.1,0,1,58305,0.9855,,,,,0.5961,56,0.5,0.5,,,,,,0.0,,0.0556,1.0,0.05,,,,
0.5045,0.3526,0.4347,806,0.0141,718,0.0141,2.315129,14.930032,5.999102,0.0001,0.025087,0.0,23.287248,0.017797,0.4045,0.5804,,,,,,32,0.1,59132,0.1508,0.3717,0.0015,0.9985,0,57,,,,,,,0.5657,0.1,,20,0.9938,0.0001,,,,,,,0.2618,0.1109,0.372,0.0002,34,58326,59132,batch,240.5,59132,0.1,0,1,58326,0.9859,,,,,0.0062,57,0.5,0.5,,,,,,0.0,,0.0566,1.0,0.05,,,,
0.5128,0.364,0.445,784,0.0138,699,0.0138,2.02159,15.183148,5.741161,0.000417,0.02513,0.0,22.992787,0.021342,0.4134,0.5908,,,,,,32,0.1,59132,0.2315,0.3859,0.0016,0.9984,0,58,,,,,,,0.5758,0.1,,20,0.5577,0.0001,,,,,,,0.3312,0.0997,0.3775,-0.0084,40,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.4423,58,0.5,0.5,,,,,,0.0,,0.0576,1.0,0.05,,,,
0.5204,0.3616,0.4428,784,0.0138,699,0.0138,1.89527,15.979976,5.675489,0.000439,0.025173,0.0,23.5927,0.016354,0.4182,0.5942,,,,,,32,0.1,59132,0.3304,0.384,0.0016,0.9984,0,59,,,,,,,0.5859,0.1,,20,0.806,0.0001,,,,,,,0.4563,0.1259,0.3781,-0.0059,26,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.194,59,0.5,0.5,,,,,,0.0,,0.0586,1.0,0.05,,,,
0.5217,0.3595,0.4409,784,0.0138,699,0.0138,2.120315,15.673141,5.750913,0.000244,0.025697,0.0,23.589063,0.018753,0.4168,0.5977,-4.5964,-10.8217,-1.0784,-0.1646,4.8861,32,0.1,59132,0.2112,0.2816,0.0017,0.9983,0,60,0.0138,1.3806,0.3028,0.887,2.7296,1.7595,0.596,0.1,0.0126,20,0.7203,0.0001,0.0917,0.2424,0.8272,0.358,0.4801,0.89,0.3164,0.1052,0.2762,-0.0054,32,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,0.6172,0.9977,0.9549,0.9995,0.2797,60,0.5,0.5,0.4118,0.2647,0.431,0.5012,0.0893,0.0,0.982,0.0596,1.0,0.05,1.0,1.0,1.0,0.1289
0.5155,0.3596,0.4409,784,0.0138,699,0.0138,2.086572,15.622348,5.544313,0.000388,0.025699,0.0,23.299108,0.019787,0.4171,0.6004,,,,,,32,0.1,59132,0.201,0.2689,0.0017,0.9983,0,61,,,,,,,0.6061,0.1,,20,0.564,0.0001,,,,,,,0.2985,0.0975,0.2604,-0.0085,28,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.436,61,0.5,0.5,,,,,,0.0,,0.0606,1.0,0.05,,,,
0.5245,0.3645,0.4454,784,0.0138,699,0.0138,1.937909,15.861966,5.483849,0.000419,0.025253,0.0,23.330224,0.020827,0.4203,0.6025,,,,,,32,0.1,59132,0.2684,0.2964,0.0018,0.9982,0,62,,,,,,,0.6162,0.1,,20,0.9961,0.0001,,,,,,,0.3675,0.0991,0.2847,-0.0117,29,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0039,62,0.5,0.5,,,,,,0.0,,0.0616,1.0,0.05,,,,
0.5245,0.3638,0.4447,784,0.0138,699,0.0138,1.801304,15.964778,5.272158,0.000598,0.025602,0.0,23.086295,0.021854,0.4218,0.6032,,,,,,32,0.1,59132,0.3044,0.2681,0.0017,0.9983,0,63,,,,,,,0.6263,0.1,,20,0.7982,0.0001,,,,,,,0.4035,0.0991,0.2556,-0.0126,26,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.2018,63,0.5,0.5,,,,,,0.0,,0.0626,1.0,0.05,,,,
0.5259,0.3643,0.4452,784,0.0138,699,0.0138,1.705349,16.523848,5.040001,0.000426,0.0257,0.0,23.317527,0.022203,0.4207,0.6032,,,,,,32,0.1,59132,0.4048,0.2314,0.0018,0.9982,0,64,,,,,,,0.6364,0.1,,20,0.7685,0.0001,,,,,,,0.5131,0.1083,0.22,-0.0115,24,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.2315,64,0.5,0.5,,,,,,0.0,,0.0636,1.0,0.05,,,,
0.5266,0.3661,0.4468,784,0.0138,699,0.0138,1.707191,16.501755,5.163415,0.000553,0.026027,0.0,23.420362,0.021422,0.4216,0.6059,-5.1339,-12.985,-1.3405,-0.0269,5.6651,32,0.1,59132,0.3076,0.2406,0.0018,0.9982,0,65,0.0138,2.8856,0.4321,1.497,7.7867,3.2353,0.6465,0.1,0.0126,20,0.9749,0.0001,0.1784,0.5596,0.999,0.4935,0.7248,0.9994,0.4016,0.094,0.229,-0.0116,22,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,0.6653,0.9983,0.9762,0.9999,0.0251,65,0.5,0.5,0.3569,0.2117,0.3621,0.4897,0.1088,0.0,0.9821,0.0646,1.0,0.05,1.0,1.0,1.0,0.1282
0.5293,0.3672,0.4478,784,0.0138,699,0.0138,1.735345,17.170404,5.131019,0.001002,0.025954,0.0,24.081041,0.017318,0.4232,0.6073,,,,,,32,0.1,59132,0.2725,0.2764,0.0019,0.9981,0,66,,,,,,,0.6566,0.1,,20,0.8976,0.0001,,,,,,,0.3663,0.0938,0.2627,-0.0136,22,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.1024,66,0.5,0.5,,,,,,0.0,,0.0657,1.0,0.05,,,,
0.5286,0.3656,0.4463,784,0.0138,699,0.0138,1.782991,17.011058,4.904832,0.000993,0.02626,0.0,23.745892,0.019758,0.4208,0.6059,,,,,,32,0.1,59132,0.2992,0.2908,0.0018,0.9982,0,67,,,,,,,0.6667,0.1,,20,0.895,0.0001,,,,,,,0.3987,0.0994,0.2799,-0.0109,22,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.105,67,0.5,0.5,,,,,,0.0,,0.0667,1.0,0.05,,,,
0.5293,0.3681,0.4486,784,0.0138,699,0.0138,1.718434,17.097297,5.179098,0.001163,0.02658,0.0,24.04396,0.021387,0.4257,0.6087,,,,,,32,0.1,59132,0.2946,0.3014,0.0018,0.9982,0,68,,,,,,,0.6768,0.1,,20,0.8295,0.0001,,,,,,,0.3992,0.1046,0.29,-0.0114,23,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.1705,68,0.5,0.5,,,,,,0.0,,0.0677,1.0,0.05,,,,
0.5286,0.3685,0.449,784,0.0138,699,0.0138,1.487583,17.490501,5.090375,0.001126,0.026829,0.0,24.117252,0.020836,0.4234,0.6087,,,,,,32,0.1,59132,0.3052,0.2866,0.0018,0.9982,0,69,,,,,,,0.6869,0.1,,20,0.9482,0.0001,,,,,,,0.3963,0.0912,0.2766,-0.0101,22,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0518,69,0.5,0.5,,,,,,0.0,,0.0687,1.0,0.05,,,,
0.5286,0.3673,0.4479,784,0.0138,699,0.0138,1.539253,17.748628,4.961334,0.001119,0.027047,0.0,24.297831,0.020452,0.4238,0.608,-5.7021,-14.5214,-1.4134,-0.1782,6.5098,32,0.1,59132,0.2785,0.2885,0.0019,0.9981,0,70,0.0138,2.9488,0.564,1.4515,8.1947,3.4368,0.697,0.1,0.0126,20,0.6058,0.0001,0.2112,0.5658,0.9994,0.5024,0.7682,0.9997,0.364,0.0855,0.2758,-0.0127,22,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,0.4901,0.9983,0.9901,0.9999,0.3942,70,0.5,0.5,0.3374,0.1586,0.3416,0.4756,0.1162,0.0,0.9822,0.0697,1.0,0.05,1.0,1.0,1.0,0.1275
0.53,0.3688,0.4493,784,0.0138,699,0.0138,1.453742,17.968191,4.794139,0.001418,0.026686,0.0,24.2647,0.020524,0.4264,0.6108,,,,,,32,0.1,59132,0.2956,0.3105,0.0018,0.9982,0,71,,,,,,,0.7071,0.1,,20,0.8432,0.0001,,,,,,,0.387,0.0914,0.2996,-0.0109,20,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.1568,71,0.5,0.5,,,,,,0.0,,0.0707,1.0,0.05,,,,
0.5293,0.3673,0.4479,784,0.0138,699,0.0138,1.630143,18.135243,4.861573,0.001715,0.02713,0.0,24.676509,0.020704,0.4246,0.6087,,,,,,32,0.1,59132,0.2803,0.2963,0.0019,0.9981,0,72,,,,,,,0.7172,0.1,,20,0.6746,0.0001,,,,,,,0.3758,0.0954,0.2847,-0.0116,18,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.3254,72,0.5,0.5,,,,,,0.0,,0.0717,1.0,0.05,,,,
0.5293,0.3678,0.4483,784,0.0138,699,0.0138,1.64365,18.112878,4.868048,0.0016,0.02733,0.0,24.672729,0.019224,0.4248,0.6101,,,,,,32,0.1,59132,0.3002,0.2697,0.0019,0.9981,0,73,,,,,,,0.7273,0.1,,20,0.9009,0.0001,,,,,,,0.3874,0.0872,0.2587,-0.011,20,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0991,73,0.5,0.5,,,,,,0.0,,0.0727,1.0,0.05,,,,
0.5286,0.367,0.4476,784,0.0138,699,0.0138,1.495861,18.577239,4.617206,0.001905,0.028241,0.0,24.740742,0.020289,0.4242,0.6073,,,,,,32,0.1,59132,0.2757,0.2901,0.0019,0.9981,0,74,,,,,,,0.7374,0.1,,20,0.9619,0.0001,,,,,,,0.3604,0.0847,0.2778,-0.0123,17,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0381,74,0.5,0.5,,,,,,0.0,,0.0737,1.0,0.05,,,,
0.5293,0.3679,0.4485,784,0.0138,699,0.0138,1.604196,18.735156,4.810832,0.001692,0.027825,0.0,25.199919,0.020217,0.4253,0.6094,-7.2574,-18.8478,-1.4962,-0.1154,8.2963,32,0.1,59132,0.3469,0.2913,0.002,0.998,0,75,0.0138,2.5776,0.4243,1.3018,7.0663,2.8692,0.7475,0.1,0.0126,20,0.4992,0.0001,0.1602,0.5084,0.9977,0.4805,0.6965,0.9985,0.4368,0.0898,0.2813,-0.01,12,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,0.6648,0.9989,0.9905,0.9999,0.5008,75,0.5,0.5,0.3116,0.1588,0.3187,0.4653,0.1162,0.0,0.9823,0.0747,1.0,0.05,1.0,1.0,1.0,0.1268
0.5286,0.3671,0.4477,784,0.0138,699,0.0138,1.473485,18.855766,4.74517,0.001881,0.027549,0.0,25.123035,0.019183,0.424,0.608,,,,,,32,0.1,59132,0.3123,0.2971,0.002,0.998,0,76,,,,,,,0.7576,0.1,,20,1.0,0.0001,,,,,,,0.3966,0.0843,0.2857,-0.0114,25,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0,76,0.5,0.5,,,,,,0.0,,0.0758,1.0,0.05,,,,
0.5286,0.3667,0.4473,784,0.0138,699,0.0138,1.424961,19.249021,4.760598,0.002451,0.027398,0.0,25.482992,0.018562,0.4237,0.6066,,,,,,32,0.1,59132,0.3441,0.3025,0.002,0.998,0,77,,,,,,,0.7677,0.1,,20,0.9993,0.0001,,,,,,,0.4317,0.0876,0.2904,-0.0122,15,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0007,77,0.5,0.5,,,,,,0.0,,0.0768,1.0,0.05,,,,
0.5266,0.3672,0.4478,784,0.0138,699,0.0138,1.558535,19.279629,4.707401,0.002381,0.027953,0.0,25.594917,0.019019,0.4231,0.6073,,,,,,32,0.1,59132,0.3174,0.3292,0.002,0.998,0,78,,,,,,,0.7778,0.1,,20,0.6974,0.0001,,,,,,,0.4097,0.0923,0.3175,-0.0117,11,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.3026,78,0.5,0.5,,,,,,0.0,,0.0778,1.0,0.05,,,,
0.5293,0.3666,0.4473,784,0.0138,699,0.0138,1.499594,19.565069,4.866659,0.001847,0.027958,0.0,25.979167,0.01804,0.4243,0.6073,,,,,,32,0.1,59132,0.3671,0.3074,0.002,0.998,0,79,,,,,,,0.7879,0.1,,20,0.9207,0.0001,,,,,,,0.4578,0.0907,0.299,-0.0084,19,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0793,79,0.5,0.5,,,,,,0.0,,0.0788,1.0,0.05,,,,
0.5286,0.3663,0.447,784,0.0138,699,0.0138,1.386314,20.278288,4.829117,0.001986,0.027656,0.0,26.540955,0.017594,0.4231,0.6066,-6.8915,-17.0712,-1.6929,-0.0398,7.4749,32,0.1,59132,0.4259,0.2835,0.0021,0.9979,0,80,0.0138,3.4786,0.6147,2.5672,7.5638,2.9204,0.798,0.1,0.0126,20,0.8611,0.0001,0.2691,0.8239,0.9988,0.5673,0.9022,0.9993,0.5132,0.0873,0.2734,-0.0101,10,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,0.6511,0.9989,0.997,0.9999,0.1389,80,0.5,0.5,0.2836,0.1318,0.278,0.4317,0.1126,0.0,0.9824,0.0798,1.0,0.05,1.0,1.0,1.0,0.1261
0.5224,0.3626,0.4437,784,0.0138,699,0.0138,1.524831,20.224297,4.778033,0.003121,0.028035,0.0,26.576604,0.018287,0.4205,0.6004,,,,,,32,0.1,59132,0.3449,0.3855,0.002,0.998,0,81,,,,,,,0.8081,0.1,,20,0.8594,0.0001,,,,,,,0.4399,0.095,0.3727,-0.0128,10,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.1406,81,0.5,0.5,,,,,,0.0,,0.0808,1.0,0.05,,,,
0.5293,0.3665,0.4472,784,0.0138,699,0.0138,1.608238,20.466183,4.547372,0.002115,0.028212,0.0,26.669467,0.017346,0.4246,0.6073,,,,,,32,0.1,59132,0.2657,0.3061,0.0021,0.9979,0,82,,,,,,,0.8182,0.1,,20,0.8836,0.0001,,,,,,,0.3497,0.084,0.299,-0.0071,14,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.1164,82,0.5,0.5,,,,,,0.0,,0.0818,1.0,0.05,,,,
0.5293,0.3665,0.4472,784,0.0138,699,0.0138,1.360849,20.383082,4.460644,0.003793,0.028372,0.0,26.253159,0.016419,0.4242,0.6073,,,,,,32,0.1,59132,0.3574,0.3324,0.0021,0.9979,0,83,,,,,,,0.8283,0.1,,20,0.9064,0.0001,,,,,,,0.4436,0.0862,0.3203,-0.0121,9,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.0936,83,0.5,0.5,,,,,,0.0,,0.0828,1.0,0.05,,,,
0.5293,0.3667,0.4474,784,0.0138,699,0.0138,1.261755,20.520852,4.433091,0.00406,0.028256,0.0,26.262965,0.014953,0.4243,0.608,,,,,,32,0.1,59132,0.4147,0.3107,0.0021,0.9979,0,84,,,,,,,0.8384,0.1,,20,0.0854,0.0001,,,,,,,0.4945,0.0798,0.2981,-0.0126,9,58348,59132,batch,240.5,59132,0.1,0,1,58348,0.9862,,,,,0.9146,84,0.5,0.5,,,,,,0.0,,0.0838,1.0,0.05,,,,
